lad21cd,local_authority,population,imd_average_score,ruc21_settlement_class,rurality,collection_type,household_collected,household_recycled,household_recycle_rate,population_density
E07000120,Hyndburn,82261,34.333,Urban,0.093,Multi-Stream,23817,7863,0.330142335306714,1126.76209291695
E07000121,Lancaster,142162,24.165,Intermediate urban,0.284,Two Stream,51387,19781,0.384941716776617,217.407339177137
E07000122,Pendle,95789,30.723,Urban,0.13,Two Stream,35145,10889,0.309830701379997,565.526896594601
E07000123,Preston,147617,29.531,Urban,0.051,Two Stream,54681,17667,0.323092116091513,1032.6853196667
E07000124,Ribble Valley,61907,10.594,Rural,0.614,Two Stream,24999,9392,0.375695027801112,105.92126559992
E07000125,Rossendale,71010,24.062,Urban,0.063,Two Stream,25717,8454,0.328731967181242,514.412746814995
E07000126,South Ribble,111204,15.33,Urban,0.06,Two Stream,43237,19679,0.455142586210884,970.238807478671
E07000127,West Lancashire,117125,18.645,Intermediate rural,0.365,Two Stream,49302,23407,0.474767757900288,307.44245633931
E07000128,Wyre,112457,20.858,Intermediate urban,0.301,Two Stream,44030,20119,0.456938451056098,342.020209274941
E07000129,Blaby,103271,10.629,Intermediate urban,0.218,Co-Mingled,37819,15974,0.42238028504191,791.538643555263
E07000130,Charnwood,182817,13.238,Intermediate urban,0.247,Co-Mingled,63611,27621,0.43421735234472,655.158797145529
E07000131,Harborough,98287,8.015,Rural,0.548,Co-Mingled,38694,17311,0.44738202305267,165.83148197445
E07000132,Hinckley and Bosworth,113660,13.461,Intermediate rural,0.371,Co-Mingled,46436,19818,0.4267809458179,382.241235361701
E07000133,Melton,51773,12.532,Intermediate rural,0.464,Co-Mingled,21780,9476,0.435078053259871,107.551093085268
E07000134,North West Leicestershire,105011,14.573,Intermediate rural,0.45,Multi-Stream,43064,20059,0.465795095671559,375.941443079313
E07000135,Oadby and Wigston,57753,12.958,Urban,0,Co-Mingled,18843,7965,0.422703391179748,2454.84838235667
E07000136,Boston,70798,22.967,Intermediate urban,0.349,Co-Mingled,29365,10073,0.343027413587604,177.977116040811
E07000137,East Lindsey,142951,29.892,Rural,0.62,Co-Mingled,57499,23270,0.404702690481574,78.0787256825404
E07000138,Lincoln,102330,26.889,Urban,0,Co-Mingled,36981,12332,0.333468537897839,2867.16763943757
E07000139,North Kesteven,118553,11.553,Rural,0.633,Co-Mingled,49136,21639,0.440389938130902,128.516723806028
E07000140,South Holland,95485,17.896,Rural,0.631,Co-Mingled,37681,11754,0.311934396645524,117.087145430914
