lad21cd,local_authority,in_lad,wa21cd,population,collection_type,collection_type_sort,in_foi,waste_authority,waste_authority_type,total_collected,total_recycled,total_not_recycled,total_rejects,household_collected,household_recycled,household_not_recycled,household_rejects,non_household_collected,non_household_recycled,non_household_not_recycled,non_household_rejects,in_rec,household_recycle_rate,rgn21cd,region,bng_e,bng_n,long,lat,household_collected_per_cap
E06000054,Wiltshire,Y,E06000054,513411,Two Stream,2,Y,Wiltshire,Unitary,232635,102550,130085,8989,218290,92163,126127,8989,14345,10387,3958,0,Y,0.422204406981538,E12000009,South West,405209,158863,-1.92661,51.3288,0.42517593117405
E06000055,Bedford,Y,E06000055,185761,Co-Mingled,1,Y,Bedford,Unitary,86759,30630,56129,4447,77007,28511,48496,4445,9753,2119,7633,2,Y,0.37023906917553,E12000006,East of England,505721,256463,-0.45463,52.1963,0.4145488019552
E06000056,Central Bedfordshire,Y,E06000056,295541,Co-Mingled,1,Y,Central Bedfordshire,Unitary,134823,63618,71205,4517,127334,58357,68977,4517,7488,5261,2228,0,Y,0.45829864765106,E12000006,East of England,504615,234492,-0.47754,51.999,0.430850541887589
E06000057,Northumberland,Y,E06000057,321558,Co-Mingled,1,Y,Northumberland,Unitary,176391,56033,120358,8894,158590,50684,107906,8894,17801,5349,12452,0,Y,0.319591399205498,E12000001,North East,395322,600699,-2.07523,55.3004,0.493192518923491
E06000058,"Bournemouth, Christchurch and Poole",Y,E06000058,400109,Co-Mingled,1,Y,"Bournemouth, Christchurch and Poole Council",Unitary,199145,92136,107009,5756,173327,82170,91157,5756,25818,9966,15852,0,Y,0.474075014279368,E12000009,South West,410815,94066,-1.84807,50.7461,0.433199453149017
E06000059,Dorset,Y,E06000059,381292,Two Stream,2,Y,Dorset Council,Unitary,198714,115485,83229,13248,182942,109436,73506,13248,15772,6049,9723,0,Y,0.598200522569995,E12000009,South West,370871,99796,-2.41467,50.797,0.479795012746137
E06000060,Buckinghamshire,Y,E10000002,555257,Two Stream,2,Y,Buckinghamshire Council,Unitary,247300,121852,125449,10216,239199,117684,121515,10216,8101,4167,3934,0,Y,0.491992023378024,E12000008,South East,482506,208561,-0.80569,51.7697,0.430789706388213
E06000061,North Northamptonshire,Y,E06000061,360381,Co-Mingled,1,Y,North Northamptonshire,Unitary,171086,78010,93076,7084,158678,71985,86692,7084,12408,6024,6383,0,Y,0.453654570891995,E12000004,East Midlands,493590,281718,-0.62504,52.4255,0.440306231460593
E06000062,West Northamptonshire,Y,E06000062,426462,Co-Mingled,1,Y,West Northamptonshire,Unitary,202063,98554,103509,6128,189987,90407,99581,6128,12075,8148,3928,0,Y,0.475858874554575,E12000004,East Midlands,467187,263879,-1.01682,52.269,0.445495729982976
E07000008,Cambridge,Y,E50000008,144714,Co-Mingled,1,Y,Cambridge City and South Cambs Councils,Collection,118550,58283,60268,3229,107230,52437,54793,3229,11320,5846,5475,0,Y,0.489014268395039,E12000006,East of England,545420,257901,0.126436,52.2002,0.740978758102188
E07000009,East Cambridgeshire,Y,E07000009,88145,Co-Mingled,1,Y,East Cambridgeshire District Council,Collection,33167,18559,14608,544,32810,18559,14251,544,357,0,357,0,Y,0.565650716245047,E12000006,East of England,555576,275765,0.283149,52.3579,0.372227579556413
E07000010,Fenland,Y,E07000010,102742,Co-Mingled,1,Y,Fenland District Council,Collection,45465,17486,27979,916,43500,17293,26207,916,1965,193,1772,0,Y,0.397540229885058,E12000006,East of England,536361,294959,0.009016,52.5354,0.423390628954079
